,first_purchase,last_purchase,tempo_purchase,day_ratio,evening_ratio,night_ratio,Electronics_ratio,Fashion_ratio,Home & Garden_ratio,Collectibles_ratio,Lifestyle_ratio,Parts & Accessories_ratio,Business & Industrial_ratio,Media_ratio,median_purchase_price_percentile,q1_purchase_price_percentile,q3_purchase_price_percentile,min_purchase_price_percentile,max_purchase_price_percentile,Age,gender,number_purchase,openness_trait,conscientiousness_trait,extraversion_trait,agreeableness_trait,neuroticism_trait
first_purchase,1.0,0.000926100390883,0.457770664704,0.0546795287199,-0.168222809986,0.122415186823,-0.268899056592,0.328956850542,0.0235794236269,0.271747274221,-0.160217246507,-0.489511287812,0.24848731047,0.136092728362,-0.363583385542,-0.291635267866,-0.366288868188,-0.0469657011812,-0.329451082834,-0.307357117829,-0.398755181958,-0.122180555983,-0.160466911322,-0.00863164202926,0.0747349824206,0.107870209584,0.320213418191
last_purchase,0.000926100390883,1.0,0.192075995087,-0.0344184367666,0.0750031407908,0.0347528916174,0.0607785501538,-0.148427544189,0.0251840297192,0.183446510539,-0.152616273958,0.1646040398,-0.0120073403412,0.0824288805563,-0.141290516122,-0.212140195635,-0.114669799354,-0.298723590268,0.0526446018897,0.0457449433869,-0.0611528165544,0.211125287324,-0.0471573743641,-0.211796167748,-0.117538232292,0.143344691592,-0.198942981803
tempo_purchase,0.457770664704,0.192075995087,1.0,-0.0222934630909,-0.0285582506477,0.0993151288606,-0.332662175979,0.425979139945,-0.123972236268,0.108189079022,0.0228634903408,-0.236842283082,0.0846268475495,-0.10853573426,-0.347670787703,-0.374472321925,-0.331354595814,-0.357651554633,0.0578017002059,0.0128310426499,-0.360810332775,0.679527928352,-0.362137820881,0.1370067883,0.0167216856197,0.19800213922,0.0429487277758
day_ratio,0.0546795287199,-0.0344184367666,-0.0222934630909,1.0,-0.876155816251,-0.718787947451,-0.0317276303953,-0.0901473505,0.151922428682,0.224835046856,0.0220131615101,-0.167833997143,-0.076142030555,0.212190604224,-0.0591887383595,-0.0953429197069,-0.170396775172,0.0296896376693,-0.211887067137,0.140063533559,-0.0714803261663,0.0238858261252,0.236075139275,0.109950583564,0.156256561727,0.357934465039,-0.2981881265
evening_ratio,-0.168222809986,0.0750031407908,-0.0285582506477,-0.876155816251,1.0,0.326176474907,-0.0571562627969,0.0101796692233,-0.0546707657572,-0.175238388993,0.13178751183,0.339087427787,0.0721895785949,-0.206732344351,0.039727010989,0.0859231666853,0.135800237645,-0.0345568056477,0.167849941492,0.028608769269,0.114317663279,-0.0469650880528,-0.0926543975581,-0.0273981820918,-0.058642744089,-0.231091792098,0.251024698366
night_ratio,0.122415186823,0.0347528916174,0.0993151288606,-0.718787947451,0.326176474907,1.0,0.189342669078,0.148106810983,-0.170338993664,-0.309342289081,-0.250017451988,-0.167283973086,0.0308629291199,-0.229661787031,-0.0402960349239,-0.0344168689859,0.055491963477,-0.0541632976356,0.195762951969,-0.333703177761,-0.0181888474888,0.0269692183666,-0.208824742719,-0.17735329653,-0.279816709587,-0.340929404076,0.250624877164
Electronics_ratio,-0.268899056592,0.0607785501538,-0.332662175979,-0.0317276303953,-0.0571562627969,0.189342669078,1.0,-0.781551180326,-0.288008616322,-0.298101067486,0.224289203719,0.0490032821927,0.0835933384467,-0.139497705781,0.00488961604892,0.00353842755608,0.0854771466244,0.205508541809,0.00132833085332,-0.150136746725,0.667773745457,-0.0845253625939,0.202144566957,-0.294945646672,-0.230063762015,0.0274388328989,-0.135243293835
Fashion_ratio,0.328956850542,-0.148427544189,0.425979139945,-0.0901473505,0.0101796692233,0.148106810983,-0.781551180326,1.0,-0.111678442347,0.0220664030395,-0.406767106034,-0.22075130078,-0.0636838302314,-0.0939721188147,-0.0838393366606,-0.0736382648562,-0.140661994557,-0.118138863346,0.0443375211049,-0.00253376097236,-0.663766991096,0.220835683852,-0.29053005362,0.117187104377,0.0448538140455,-0.0825098715227,0.266198777873
Home & Garden_ratio,0.0235794236269,0.0251840297192,-0.123972236268,0.151922428682,-0.0546707657572,-0.170338993664,-0.288008616322,-0.111678442347,1.0,-0.136669058207,-0.19852591676,-0.168994299535,-0.0510414787713,-0.0628804617475,-0.240238008922,-0.291809443035,-0.28916412549,-0.374350783871,-0.284157611274,-0.0954508292125,-0.284551026751,-0.205902221309,0.0769344302484,0.365491612909,0.21045272446,0.0601128706473,0.0496696082321
Collectibles_ratio,0.271747274221,0.183446510539,0.108189079022,0.224835046856,-0.175238388993,-0.309342289081,-0.298101067486,0.0220664030395,-0.136669058207,1.0,0.0354053981859,-0.107064777849,-0.134877862782,0.640451318347,0.163534241284,0.206710872417,0.110133310132,-0.0276003938158,-0.0552005958234,0.162051951734,-0.116064715527,-0.0495665677256,-0.0123218358591,0.0813449016083,0.117186724568,0.13371928621,-0.172906473975
Lifestyle_ratio,-0.160217246507,-0.152616273958,0.0228634903408,0.0220131615101,0.13178751183,-0.250017451988,0.224289203719,-0.406767106034,-0.19852591676,0.0354053981859,1.0,0.0204693861637,0.11038134656,0.0450567648995,0.241750740172,0.25683638048,0.268479347086,0.26143615365,0.119037723702,0.248935285626,0.4268043702,0.155254146772,-0.0151347440963,-0.178379811986,-0.0736664118746,0.0138359014882,-0.134993862468
Parts & Accessories_ratio,-0.489511287812,0.1646040398,-0.236842283082,-0.167833997143,0.339087427787,-0.167283973086,0.0490032821927,-0.22075130078,-0.168994299535,-0.107064777849,0.0204693861637,1.0,-0.146127550531,-0.128156374711,0.269962799093,0.271840003806,0.321640465786,0.242781816048,0.293295170754,0.280261094806,0.298104810587,-0.143140835395,0.280323497301,0.0733296829677,0.0796366994831,-0.0527942083313,-0.268291894252
Business & Industrial_ratio,0.24848731047,-0.0120073403412,0.0846268475495,-0.076142030555,0.0721895785949,0.0308629291199,0.0835933384467,-0.0636838302314,-0.0510414787713,-0.134877862782,0.11038134656,-0.146127550531,1.0,0.079006636396,-0.172718075957,-0.154851317634,-0.17497278107,-0.0892192650824,-0.111659084868,-0.299574900938,0.110847524468,0.0252365599534,-0.247905870634,-0.385513390143,0.140660585655,-0.0855198523234,0.326851709426
Media_ratio,0.136092728362,0.0824288805563,-0.10853573426,0.212190604224,-0.206732344351,-0.229661787031,-0.139497705781,-0.0939721188147,-0.0628804617475,0.640451318347,0.0450567648995,-0.128156374711,0.079006636396,1.0,0.250635743935,0.249406743849,0.244504019774,-0.0932071731311,0.140010084483,0.11651140879,-0.0582125214405,-0.109692510384,-0.137810725275,-0.132617380881,0.122056998555,-0.030756889274,-0.100259955205
median_purchase_price_percentile,-0.363583385542,-0.141290516122,-0.347670787703,-0.0591887383595,0.039727010989,-0.0402960349239,0.00488961604892,-0.0838393366606,-0.240238008922,0.163534241284,0.241750740172,0.269962799093,-0.172718075957,0.250635743935,1.0,0.936842067751,0.958934981484,0.536611335297,0.647206016937,0.293223289127,0.244414122363,-0.0534738392888,-0.0858616987185,-0.173238604165,-0.0807049403209,0.0652490875153,-0.294777146641
q1_purchase_price_percentile,-0.291635267866,-0.212140195635,-0.374472321925,-0.0953429197069,0.0859231666853,-0.0344168689859,0.00353842755608,-0.0736382648562,-0.291809443035,0.206710872417,0.25683638048,0.271840003806,-0.154851317634,0.249406743849,0.936842067751,1.0,0.914519432862,0.604136891869,0.599714906242,0.257097277849,0.303932496058,-0.160821406492,0.000863515176492,-0.206683293231,0.0487249914555,0.10273929922,-0.213791102252
q3_purchase_price_percentile,-0.366288868188,-0.114669799354,-0.331354595814,-0.170396775172,0.135800237645,0.055491963477,0.0854771466244,-0.140661994557,-0.28916412549,0.110133310132,0.268479347086,0.321640465786,-0.17497278107,0.244504019774,0.958934981484,0.914519432862,1.0,0.526700654167,0.706980643672,0.304702330212,0.306194744218,-0.0232551895123,-0.104628871236,-0.16360440797,-0.188425977889,0.0350826694545,-0.294270628841
min_purchase_price_percentile,-0.0469657011812,-0.298723590268,-0.357651554633,0.0296896376693,-0.0345568056477,-0.0541632976356,0.205508541809,-0.118138863346,-0.374350783871,-0.0276003938158,0.26143615365,0.242781816048,-0.0892192650824,-0.0932071731311,0.536611335297,0.604136891869,0.526700654167,1.0,0.211237823775,0.137056213296,0.245730187147,-0.430302683693,0.280096986462,-0.0825182824606,0.0242856172948,-0.000748578324266,-0.129861680469
max_purchase_price_percentile,-0.329451082834,0.0526446018897,0.0578017002059,-0.211887067137,0.167849941492,0.195762951969,0.00132833085332,0.0443375211049,-0.284157611274,-0.0552005958234,0.119037723702,0.293295170754,-0.111659084868,0.140010084483,0.647206016937,0.599714906242,0.706980643672,0.211237823775,1.0,0.282096911812,0.180822196839,0.202595767364,-0.0226493235355,-0.0903454253944,-0.0748903096436,0.117536036536,-0.232603563512
Age,-0.307357117829,0.0457449433869,0.0128310426499,0.140063533559,0.028608769269,-0.333703177761,-0.150136746725,-0.00253376097236,-0.0954508292125,0.162051951734,0.248935285626,0.280261094806,-0.299574900938,0.11651140879,0.293223289127,0.257097277849,0.304702330212,0.137056213296,0.282096911812,1.0,-0.0254735094953,0.254264090032,0.200184766395,0.314632127452,-0.00687252621874,0.207755609449,-0.400257899228
gender,-0.398755181958,-0.0611528165544,-0.360810332775,-0.0714803261663,0.114317663279,-0.0181888474888,0.667773745457,-0.663766991096,-0.284551026751,-0.116064715527,0.4268043702,0.298104810587,0.110847524468,-0.0582125214405,0.244414122363,0.303932496058,0.306194744218,0.245730187147,0.180822196839,-0.0254735094953,1.0,-0.106923447478,0.250994186726,-0.322863428485,0.0241829559926,0.171864492045,-0.18380987827
number_purchase,-0.122180555983,0.211125287324,0.679527928352,0.0238858261252,-0.0469650880528,0.0269692183666,-0.0845253625939,0.220835683852,-0.205902221309,-0.0495665677256,0.155254146772,-0.143140835395,0.0252365599534,-0.109692510384,-0.0534738392888,-0.160821406492,-0.0232551895123,-0.430302683693,0.202595767364,0.254264090032,-0.106923447478,1.0,-0.383195432852,0.0114388776786,-0.188786085758,0.135542110097,-0.191953436007
openness_trait,-0.160466911322,-0.0471573743641,-0.362137820881,0.236075139275,-0.0926543975581,-0.208824742719,0.202144566957,-0.29053005362,0.0769344302484,-0.0123218358591,-0.0151347440963,0.280323497301,-0.247905870634,-0.137810725275,-0.0858616987185,0.000863515176492,-0.104628871236,0.280096986462,-0.0226493235355,0.200184766395,0.250994186726,-0.383195432852,1.0,0.240823601638,0.272623485565,0.178458338546,-0.226735154577
conscientiousness_trait,-0.00863164202926,-0.211796167748,0.1370067883,0.109950583564,-0.0273981820918,-0.17735329653,-0.294945646672,0.117187104377,0.365491612909,0.0813449016083,-0.178379811986,0.0733296829677,-0.385513390143,-0.132617380881,-0.173238604165,-0.206683293231,-0.16360440797,-0.0825182824606,-0.0903454253944,0.314632127452,-0.322863428485,0.0114388776786,0.240823601638,1.0,0.0576605445306,0.249082874345,-0.173576100983
extraversion_trait,0.0747349824206,-0.117538232292,0.0167216856197,0.156256561727,-0.058642744089,-0.279816709587,-0.230063762015,0.0448538140455,0.21045272446,0.117186724568,-0.0736664118746,0.0796366994831,0.140660585655,0.122056998555,-0.0807049403209,0.0487249914555,-0.188425977889,0.0242856172948,-0.0748903096436,-0.00687252621874,0.0241829559926,-0.188786085758,0.272623485565,0.0576605445306,1.0,0.0784481135774,-0.0162575818818
agreeableness_trait,0.107870209584,0.143344691592,0.19800213922,0.357934465039,-0.231091792098,-0.340929404076,0.0274388328989,-0.0825098715227,0.0601128706473,0.13371928621,0.0138359014882,-0.0527942083313,-0.0855198523234,-0.030756889274,0.0652490875153,0.10273929922,0.0350826694545,-0.000748578324266,0.117536036536,0.207755609449,0.171864492045,0.135542110097,0.178458338546,0.249082874345,0.0784481135774,1.0,-0.389078259638
neuroticism_trait,0.320213418191,-0.198942981803,0.0429487277758,-0.2981881265,0.251024698366,0.250624877164,-0.135243293835,0.266198777873,0.0496696082321,-0.172906473975,-0.134993862468,-0.268291894252,0.326851709426,-0.100259955205,-0.294777146641,-0.213791102252,-0.294270628841,-0.129861680469,-0.232603563512,-0.400257899228,-0.18380987827,-0.191953436007,-0.226735154577,-0.173576100983,-0.0162575818818,-0.389078259638,1.0
