,first_purchase,last_purchase,tempo_purchase,day_ratio,evening_ratio,night_ratio,weekend_ratio,Electronics_ratio,Fashion_ratio,Home & Garden_ratio,Collectibles_ratio,Lifestyle_ratio,Parts & Accessories_ratio,Business & Industrial_ratio,Media_ratio,median_purchase_price_percentile,q1_purchase_price_percentile,q3_purchase_price_percentile,min_purchase_price_percentile,max_purchase_price_percentile,Age,gender,number_purchase
109,2013.43561644,2018.0109589,19.4520958084,0.489361702128,0.340425531915,0.106382978723,0.47191011236,0.303370786517,0.280898876404,0.269662921348,0.0337078651685,0.0561797752809,0.0112359550562,0.0337078651685,0.0112359550562,0.571428571429,0.571428571429,0.514285714286,0.114285714286,0.6,26,1,89.0
23,2016.98630137,2017.9890411,91.7486338798,0.420289855072,0.347826086957,0.217391304348,0.25,0.054347826087,0.619565217391,0.25,0.0652173913043,0.0108695652174,0.0,0.0,0.0,0.0,0.0285714285714,0.0,0.257142857143,0.685714285714,29,0,92.0
54,2009.24109589,2018.01369863,40.1249219238,0.430711610487,0.370786516854,0.153558052434,0.241477272727,0.323863636364,0.346590909091,0.0625,0.0397727272727,0.161931818182,0.0426136363636,0.00568181818182,0.0170454545455,0.885714285714,0.914285714286,0.914285714286,0.714285714286,0.942857142857,47,1,352.0
47,2016.12328767,2018.02191781,31.075036075,0.557692307692,0.230769230769,0.115384615385,0.118644067797,0.169491525424,0.338983050847,0.0847457627119,0.237288135593,0.0847457627119,0.0169491525424,0.0169491525424,0.0508474576271,0.542857142857,0.714285714286,0.685714285714,0.657142857143,0.457142857143,43,0,59.0
46,2010.02191781,2018.01643836,10.0068540096,0.627450980392,0.352941176471,0.0196078431373,0.3625,0.6,0.05,0.0625,0.0375,0.1125,0.1375,0.0,0.0,0.628571428571,0.628571428571,0.742857142857,0.742857142857,0.828571428571,44,1,80.0
117,2011.96986301,2017.88219178,12.8544949027,0.491228070175,0.368421052632,0.105263157895,0.25,0.328947368421,0.184210526316,0.289473684211,0.0921052631579,0.0526315789474,0.0394736842105,0.0,0.0131578947368,0.714285714286,0.742857142857,0.828571428571,0.771428571429,0.428571428571,31,1,76.0
41,2003.55342466,2018.0109589,5.18760659466,0.425925925926,0.444444444444,0.0740740740741,0.28,0.266666666667,0.226666666667,0.0933333333333,0.0533333333333,0.04,0.32,0.0,0.0,0.914285714286,0.942857142857,0.885714285714,0.771428571429,0.885714285714,41,1,75.0
50,2011.71780822,2017.23561644,20.2979145978,0.56,0.173333333333,0.173333333333,0.330357142857,0.00892857142857,0.946428571429,0.0267857142857,0.0178571428571,0.0,0.0,0.0,0.0,0.971428571429,0.971428571429,0.942857142857,0.971428571429,0.8,33,0,112.0
44,2013.51232877,2017.98082192,22.378908645,0.571428571429,0.238095238095,0.174603174603,0.37,0.19,0.62,0.08,0.08,0.02,0.0,0.0,0.01,0.771428571429,0.828571428571,0.657142857143,0.6,0.771428571429,45,0,100.0
35,2010.5369863,2017.67945205,15.1208285386,0.453333333333,0.266666666667,0.213333333333,0.305555555556,0.527777777778,0.0833333333333,0.277777777778,0.00925925925926,0.0648148148148,0.0185185185185,0.0185185185185,0.0,0.8,0.8,0.8,0.514285714286,0.914285714286,36,1,108.0
56,2013.27671233,2018.00273973,26.6608695652,0.901639344262,0.0245901639344,0.0409836065574,0.031746031746,0.174603174603,0.492063492063,0.293650793651,0.031746031746,0.00793650793651,0.0,0.0,0.0,0.457142857143,0.6,0.342857142857,0.571428571429,0.171428571429,33,0,126.0
67,2014.39178082,2017.56986301,39.0172413793,0.377049180328,0.475409836066,0.114754098361,0.508064516129,0.548387096774,0.161290322581,0.0806451612903,0.00806451612903,0.161290322581,0.0,0.0403225806452,0.0,0.342857142857,0.542857142857,0.314285714286,0.771428571429,0.228571428571,29,1,124.0
80,2012.82465753,2018.02465753,21.1538461538,0.6,0.2375,0.1125,0.272727272727,0.227272727273,0.554545454545,0.136363636364,0.0272727272727,0.00909090909091,0.0,0.0363636363636,0.00909090909091,0.0285714285714,0.0571428571429,0.0285714285714,0.2,0.0285714285714,26,0,110.0
71,2008.85205479,2017.83835616,7.01067073171,0.473684210526,0.315789473684,0.105263157895,0.396825396825,0.507936507937,0.0952380952381,0.174603174603,0.0793650793651,0.126984126984,0.015873015873,0.0,0.0,0.828571428571,0.885714285714,0.771428571429,0.942857142857,0.371428571429,29,1,63.0
29,2015.56986301,2018.02739726,41.9119286511,0.671232876712,0.164383561644,0.0684931506849,0.291262135922,0.31067961165,0.223300970874,0.21359223301,0.135922330097,0.0582524271845,0.0194174757282,0.00970873786408,0.0291262135922,0.685714285714,0.428571428571,0.571428571429,0.457142857143,0.285714285714,36,0,103.0
63,2009.55616438,2017.83835616,10.0215018194,0.677419354839,0.274193548387,0.0483870967742,0.253012048193,0.469879518072,0.180722891566,0.168674698795,0.0722891566265,0.0602409638554,0.0240963855422,0.0240963855422,0.0,0.657142857143,0.657142857143,0.6,0.914285714286,0.542857142857,42,1,83.0
43,2008.04383562,2017.98356164,19.618246968,0.693251533742,0.19018404908,0.0736196319018,0.164102564103,0.446153846154,0.153846153846,0.0923076923077,0.153846153846,0.0820512820513,0.0102564102564,0.00512820512821,0.0564102564103,0.857142857143,0.771428571429,0.857142857143,0.142857142857,1.0,31,1,195.0
11,2011.32876712,2017.97534247,24.9752679308,0.517543859649,0.254385964912,0.210526315789,0.313253012048,0.174698795181,0.331325301205,0.367469879518,0.066265060241,0.0542168674699,0.0,0.0,0.00602409638554,0.742857142857,0.685714285714,0.714285714286,0.228571428571,0.714285714286,30,0,166.0
33,2009.0109589,2018.01917808,49.7323600973,0.688821752266,0.19335347432,0.0543806646526,0.261160714286,0.348214285714,0.404017857143,0.147321428571,0.0535714285714,0.0401785714286,0.00446428571429,0.00223214285714,0.0,0.6,0.4,0.628571428571,0.0,0.542857142857,46,0,448.0
15,2011.22191781,2018.03561644,19.9597909127,0.860869565217,0.095652173913,0.0260869565217,0.154411764706,0.360294117647,0.176470588235,0.352941176471,0.0147058823529,0.0294117647059,0.0441176470588,0.0220588235294,0.0,0.257142857143,0.171428571429,0.257142857143,0.257142857143,0.114285714286,32,1,136.0
38,2012.78082192,2017.75342466,15.0826446281,0.666666666667,0.228070175439,0.0350877192982,0.24,0.293333333333,0.24,0.2,0.226666666667,0.0133333333333,0.0,0.0,0.0266666666667,0.2,0.485714285714,0.2,0.0,0.0571428571429,38,1,75.0
53,2014.92054795,2018.03013699,63.0308370044,0.831325301205,0.114457831325,0.0361445783133,0.15306122449,0.219387755102,0.397959183673,0.168367346939,0.112244897959,0.0816326530612,0.015306122449,0.00510204081633,0.0,0.171428571429,0.285714285714,0.228571428571,0.685714285714,0.657142857143,38,0,196.0
